,sentences,label
1482,- This is in addition to the `relatedCode?` property.,0
330,I don't necessarily agree on this.,0
1238,"Some people like to set `editor.findMatchBorder` to put a bright colored border around the selected match, but I wouldn't do that by default because vscode prefers a minimalist color scheme.",0
466,### 3.,0
2170,"It's still better than before because before that did not work.

!",0
1638,>  do you mean ctrl+`?,1
3093,It's possible that this is just an ABI compatibility problem (the fact that there's a lot of reports from CentOS 7 is a clue.),0
1095,I use this to release memory.,0
1130,> Can you distinguish between a stop event on the first character on the line and a stop event in the middle of the line?,1
1294,The alternative would be to do some refactorings to be able to plug in a decorations manager that can live in `/browser/` to the `searchModel` that can continue staying in `/common/`.,0
860,"Also, I am fine with adding this pattern from `std.const` to `hlo.const` but it should not be part of the HLO to LHLO set of patterns because that is not what it does.",0
3175,"Just tested, your server works fine.",0
